"Participant","LQ_dominance_1","LQ_dominance_2","LQ_dominance_3","LQ_dominance_4","LQ_dominance_5","LQ_acquisition_1","LQ_acquisition_2","LQ_acquisition_3","LQ_acquisition_4","LQ_acquisition_5","LQ_exp_lang_1","LQ_exp_lang_2","LQ_exp_lang_3","LQ_exp_lang_4","LQ_exp_lang_5","LQ_read_lang_1","LQ_read_lang_2","LQ_read_lang_3","LQ_read_lang_4","LQ_read_lang_5","LQ_speak_lang_1","LQ_speak_lang_2","LQ_speak_lang_3","LQ_speak_lang_4","LQ_speak_lang_5","LQ_culture_1","LQ_culture_2","LQ_culture_3","LQ_culture_4","LQ_culture_5","LQ_edu_other_text","LQ_current_residence_country","LQ_immigration_country_1","LQ_immigration_country_2","LQ_immigration_country_3","LQ_disability_explanation","LQ_disability_options","LQ_education_level"
167,"Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian ","English","","","","Italian ","English ","","","","Italian","","","","","","Italy","","","","","unchecked, unchecked, unchecked, unchecked, checked","College"
192,"Italian","English","","","","Italian","English","","","","Italian ","English ","","","","Italian","English","","","","Italian","English","","","","Italian ","","","","","","Italy","Germany","Switzerland","France","","checked, unchecked, unchecked, unchecked, unchecked","Masters"
129,"italian","english","french","","","italian","french","english","","","italian","english","french","","","english","italian","french","","","italian","","","","","Italian","European","","","","","Italy","Italy","","","","unchecked, unchecked, unchecked, unchecked, checked","Some College"
9,"Italiano","English","Nihongo","Espanol","","Italiano","English","Espanol","Nihongo","","Italiano","English","Nihongo","Espanol","","Italiano","English","Nihongo","Espanol","","Italiano","English","Nihongo","Espanol","","European","Japanese","","","","","Italy","","","","Myopia and astigmatism%2C I use glasses","checked, unchecked, unchecked, unchecked, unchecked","High School"
182,"italian","english","korean","french","","italian","english","french","korean","","italian","english","french","korean","","italian","english","french","korean","","italian","english","french","korean","","italian","british","","","","","italy","","","","","unchecked, unchecked, unchecked, unchecked, checked","High School"
25,"italiano","inglese","","","","italiano","inglese","","","","italiano","inglese","","","","italiano","inglese","","","","italiano","inglese","","","","European","","","","","","Italy","Italy","","","","unchecked, unchecked, unchecked, unchecked, checked","Ph.D./M.D./J.D."
261,"Italian","English","French","","","Italian","French","English","","","Italian","English","French","","","Italian","English","French","","","Italian","","","","","none","","","","","","Italy","","","","myopia","checked, unchecked, unchecked, unchecked, unchecked","Professional Training"
86,"Italian ","English","","","","Italian","English ","","","","Italian ","English ","","","","Italian ","English ","","","","Italian ","English ","","","","Italian ","","","","","","Italy","","","","","unchecked, unchecked, unchecked, unchecked, checked","College"
150,"Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","US-American","","","","","Italy","","","","","unchecked, unchecked, unchecked, unchecked, checked","Professional Training"
266,"Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","","","","","","Italy","","","","","unchecked, unchecked, unchecked, unchecked, checked","High School"
124,"italian","english","spanish","","","italian","english","spanish","","","italian","english","spanish","","","italian","english","spanish","","","italian","english","spanish","","","europe","italian","","","","","italy","","","","i wear glasses","checked, unchecked, unchecked, unchecked, unchecked","Some College"
66,"Italiano ","Ingkese","","","","Italiani","Ingkese","","","","Italiano ","Ingkese","","","","Italiano ","Inglese","","","","Itakiano","Inglese","","","","Italian","","","","","","Italy","","","","","unchecked, unchecked, unchecked, unchecked, checked","College"
252,"italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","English","","","","European","Asiatic","","","","","Italy","","","","","checked, unchecked, unchecked, unchecked, unchecked","Less than High School"
29,"Italian ","English ","French ","","","Italian ","English ","French ","","","Italian","English ","French ","","","Italian ","English ","French","","","Italian ","English","French","","","Italian ","","","","","","Italy ","","","","","checked, unchecked, unchecked, unchecked, unchecked","College"
228,"Italian","English","French","","","Italian","English ","French","","","Italian ","English ","French","","","Italian ","English","French","","","Italian ","English","French ","","","European","","","","","","Italy","China ","","","","checked, unchecked, unchecked, unchecked, unchecked","Some Graduate School"
202,"Italian","English","Spanish","","","Italian ","English ","Spanish","","","Italian","English","Spanish","","","Italian","English","Spanish","","","Italian","English","Spanish ","","","Italian","","","","","","Italy","","","","","unchecked, unchecked, unchecked, unchecked, checked","Masters"
30,"Italian","English ","French","","","Italian","French","English","","","Italian","English","","","","Italian","English ","","","","Italian","English","","","","Northern Europe","Italian","","","","","Italy","Eire","","","","unchecked, unchecked, unchecked, unchecked, checked","Masters"
132,"Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian ","English ","","","","European","","","","","","Italy","Italy","","","","unchecked, unchecked, unchecked, unchecked, checked","Masters"
270,"Italian","English","Japanese","French","","Italian","English","French","Japanese","","Italian","English","Japanese","French","","Italian","English","Japanese","French","","Italian","English","Japanese","French","","Italian","Regional culture of Veneto","","","","","Italy","Japan","","","","unchecked, unchecked, unchecked, unchecked, checked","Masters"
161,"Italian ","","","","","Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","English ","","","","None","","","","","","Italy","","","","","unchecked, unchecked, unchecked, unchecked, checked","Some College"
85,"Italian","English","","","","Italian ","English ","","","","Italian ","English ","","","","Italian","English","","","","Italian","English","","","","Italian ","","","","","","Italy","","","","","unchecked, unchecked, unchecked, unchecked, checked","Some College"
28,"Italian","English","French","","","Italian","English","French","","","Italian","English","French","","","Italian","English","French","","","Italian","English","French","","","Italian","Religious","","","","","Italy","","","","","unchecked, unchecked, unchecked, unchecked, checked","High School"
81,"Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","English ","","","","Italian","English","","","","Italian","English","European","","","","Italy","","","","","checked, unchecked, unchecked, unchecked, unchecked","Masters"
199,"Italian","English","Spanish","","","Italian","English","Spanish","","","Italian","English","Spanish","N/A","N/A","Italian","English","Spanish","N/A","N/A","Italian","English","Spanish","","","Italian","American","Spanish","","","","Italy","","","","","unchecked, unchecked, unchecked, unchecked, checked","High School"
255,"Italian","English","Mandarin Chinese","Japanese","French","Italian","English","French","Mandarin Chinese","Japanese","Italian","English","Mandarin Chinese","French","Japanese","Italian","English","Chinese","French","Japanese","English","Italian","Mandarin Chinese","French","Japanese","Italian","English internet culture","Chinese","","","","Italy","","","","","unchecked, unchecked, unchecked, unchecked, checked","Masters"
38,"italian","english","spanish","french","","italian","english","french","spanish","","italian","english","spanish","french","","italian","english","spanish","french","","italian","english","spanish","french","","White mediterranean","","","","","","Italy","","","","Multiple vision problems%2C msot fixed with proper glasses","checked, unchecked, unchecked, unchecked, unchecked","High School"
68,"Italian","English ","Francais","","","Italian","English","Francais","","","Italian","English","Francais","","","Italian","English","","","","Italian","English","","","","Italian","English Uk","","","","","Italy","","","","I wear glasses","checked, unchecked, unchecked, unchecked, unchecked","College"
183,"Italian","English","Spanish","","","Italian","English","Spanish","","","Italian","English","Spanish","","","Italian","English","","","","Italian","English","","","","Italian","US-American","Latino","Japanese","","","Italy","Italy","","","I use glasses","checked, unchecked, unchecked, unchecked, unchecked","Some Graduate School"
93,"Italian","English","French","","","Italian","English","French","","","Italian","English","French","","","Italian","English","French","","","Italian","English","French","","","Northern European culture (values and way of life)","Tech / digital culture","1990s cultural era (music%2C aesthetics%2C mindset)","Rural / countryside lifestyle culture","","","Italy","","","","colorblind","checked, unchecked, unchecked, unchecked, unchecked","Ph.D./M.D./J.D."
105,"Italian","English","German","French","","Italian","English","French","German","","Italian","English","German","French","","Italian","English","German","French","","Italian","English","German","French","","    Italian","    European/Western","","","","","Italy","","","","","unchecked, unchecked, unchecked, unchecked, checked","Masters"
254,"italian","english","french","","","italian","french","english","","","italian","english","french","","","italian","english","french","","","italian","english","french","","","italian","","","","","","italy","","","","lisp","unchecked, unchecked, checked, unchecked, unchecked","Masters"
110,"Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","","","","","","Italy","","","","Miopic","checked, unchecked, unchecked, unchecked, unchecked","High School"
198,"Italian","English ","","","","Italian ","English ","","","","Italian ","English ","","","","Italian ","English ","","","","Italian ","English ","","","","Italian ","English ","","","","","Italy ","","","","","unchecked, unchecked, unchecked, unchecked, checked","Masters"
89,"Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","Christian / Catholic","European","Local Culture (Rome Latium)","Mediterranean","Currently on University","Italy","","","","Dysgraphia and Myopia","checked, unchecked, unchecked, checked, unchecked","Some College"
16,"Italian","English","Spanish","Japanese","French","Italian","English ","Japanese","Spanish","French","English","Italian","Spanish","Japanese","French","English","Italian","Spanish","Japanese","French","Italian","English","Japanese","French","Spanish","Italian","","","","","","Italy","Spain","Japan","","Miopia%2C astigmatism","checked, unchecked, unchecked, unchecked, unchecked","Masters"
244,"italian","english","0","0","0","italian","english","0","0","0","italian","english","0","0","0","italian","english","0","0","0","italian","english","0","0","0","italian","0","0","0","0","","italy","italy","","","","unchecked, unchecked, unchecked, unchecked, checked","Masters"
164,"Italian ","English","French","Spanish","","Italian ","English","French","Spanish","","Italian","English","French","Spanish","","Italian","English","French","Spanish","","Italian ","English","French","Spanish","","Italian","Latín América ","","","","","Italy","Canada - 6 months","","","","checked, unchecked, unchecked, unchecked, unchecked","Masters"
103,"Italian","English","Spanish","","","Italian","English","Spanish","","","Italian","English","Spanish","","","Italian","English","Spanish","","","Itanian","English","Spanish","","","Italian","English","Spanish","","","","Italy","","","","","unchecked, unchecked, unchecked, unchecked, checked","College"
219,"ITALIANO","ENGLISH","","","","ITALIANO","ENGLISH","","","","ITALIANO","ENGLISH","","","","ITALIANO","ENGLISH","","","","ITALIANO","ENGLISH","","","","LATINA","MEDITERRANEA","NORD EUROPEA","","","","ITALY","","","","","unchecked, unchecked, unchecked, unchecked, checked","Ph.D./M.D./J.D."
79,"italian","english","german","french","","italian","english","german","french","","italian","english","german","french","","italian","english","german","french","","italian","english","german","french","","italian","","","","","","Italy","","","","","unchecked, unchecked, unchecked, unchecked, checked","Some College"
17,"Italian","English","Spanish","","","Italian ","English","Spanish","","","Italian","English","Spanish","","","Italian","English","Spanish","","","Italian","English","Spanish","","","White","","","","","","Italy","","","","","unchecked, unchecked, unchecked, unchecked, checked","College"
201,"Italian","English","French","","","Italian","English","French","","","Italian","English","French","","","Italian","English","French","","","Italian","English","French","","","Italian","European","","","","","Italy","","","","Myopia (I use glasses and contact lens)","checked, unchecked, unchecked, unchecked, unchecked","Masters"
75,"Italiano","English","Siciliano","Français","Deutsch","Italiano","Siciliano","Français","English","Deutsch","Italiano","English","Siciliano","Français","Deutsch","Italiano","English","Siciliano","Français","Deutsch","Italiano","English","Français","Siciliano","Deutsch","European","Italian","","","","Almost graduated in Med School","Italy","","","","Just with my eye acomodation: astigmatism and hypermetropia","checked, unchecked, unchecked, unchecked, unchecked","Some College"
220,"Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","Irish","Scottish","","","","","Ireland","Scotland","","Shortsight seeing","unchecked, unchecked, unchecked, unchecked, checked","Ph.D./M.D./J.D."
172,"Italian ","English ","","","","Italian","English","","","","Italian","English","","","","Italian ","English ","","","","Italian","English ","","","","Italian","","","","","","Italy","","","","","checked, unchecked, unchecked, unchecked, unchecked","Masters"
298,"Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian ","English","","","","Italian","English","","","","Italian","English","","","","","Italy","","","","I have myopia","checked, unchecked, unchecked, unchecked, unchecked","Some Graduate School"
241,"Italian","English","Spanish","French","","Italian","English","Spanish","French","","Italian","English","Spanish","French","","Italian","English","Spanish","French","","Italian","English","Spanish","French","","Italian","Catholic","Tuscanian","","","","Italy","","","","Miopia and astigmatism%2C first corrected at 12 with glasses","checked, unchecked, unchecked, unchecked, unchecked","Some College"
273,"Italian","English","","","","Italian ","English","","","","Italian","English","","","","Italian","English","","","","Italian","English","","","","italian","","","","","","Italy","","","","","unchecked, unchecked, unchecked, unchecked, checked","High School"
166,"italian ","english","","","","italian ","english","","","","italian ","english","","","","italian ","english","","","","italian ","english","","","","italian ","","","","","","Italy","","","","","unchecked, unchecked, unchecked, unchecked, checked","College"
37,"Italian","Spanish","English","French","German","Italian","French","English","Spanish","German","Italian","Spanish","English","French","German","Italian","Spanish","English","French","German","Italian","Spanish","English","French","German","Italian","South American","Anglosaxon","","","","Italy","Costa Rica","","","","unchecked, unchecked, unchecked, unchecked, checked","Some College"
263,"Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","","","","","","Italy","","","","","unchecked, unchecked, unchecked, unchecked, checked","College"
78,"italian","english","","","","italian","english","spanish","","","italian","english","spanish","","","italian","english","spanish","","","italian","english","spanish","","","italian","","","","","bachelor","italy","","","","","unchecked, unchecked, unchecked, unchecked, checked","Masters"
92,"italian","english","french","","","italian","french","english","","","italian","english","french","","","italian","english","french","","","italian","english","french","","","Italian","French","","","","","italy","","","","","unchecked, unchecked, unchecked, unchecked, checked","High School"
294,"Italian","English","","","","Italian","English","","","","Italiano","English","","","","Italian","English","","","","Italian","English","","","","Italian","","","","","","Italy","","","","","unchecked, unchecked, unchecked, unchecked, checked","College"
186,"italian","english","french","","","italian","french","english","","","italian","english","french","","","italian","english","french","","","italian","english","french","","","italian","","","","","","italy","USA","Germany","","","unchecked, unchecked, unchecked, unchecked, checked","College"
170,"Italian","Neapolitan","English","","","Italian","Neapolitan","","","","Italian","Neapolitan","English","","","Italian","Neapolitan","English","","","Neapolitan","Italian","English","","","White Italian","","","","","","Italy","","","","","unchecked, unchecked, unchecked, unchecked, checked","Some College"
99,"italian","english","spanish","","","italian","english","spanish","","","italian","english","spanish","","","italian","english","spanish","","","italian","english","spanish","","","italian","","","","","","Italy","","","","both myopia and astigmatism","checked, unchecked, unchecked, unchecked, unchecked","Some College"
102,"Italian","English ","","","","Italian","English ","","","","Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","","","","","","Italy","","","","I have corrected to normal vision by glasses","checked, unchecked, unchecked, unchecked, unchecked","High School"
154,"Italian","English","","","","Italian ","English","","","","Italian","English","","","","Italian","English","","","","Italian","English","","","","European","Italian","","","","","Italy","","","","","unchecked, unchecked, unchecked, unchecked, checked","Some College"
265,"Italian","English","","","","Italian ","English","","","","Italian","English","","","","italian","english","","","","italian","english","","","","Italian","","","",""," Bachelor’s Degree","Italy","","","","Myopia","checked, unchecked, unchecked, unchecked, unchecked","Other"
210,"Italian","English","Portuguese","","","Italian","English","Portuguese","","","Italian","English","Portuguese","","","Italian","English","Portugues","","","Italian","English","Portuguese","","","European-Italian","","","","","","Italy","","","","","unchecked, unchecked, unchecked, unchecked, checked","High School"
282,"Italian ","English ","","","","Italian ","English","","","","Italian ","English","","","","Italian ","English ","","","","Italian","English ","","","","Italian","","","","","","Italy ","","","","","unchecked, unchecked, unchecked, unchecked, checked","Some College"
84,"italiano","inglese","spagnolo","","","italiano ","ingelse","spagnolo","","","italiana","inglese","spagnola","","","italiano","","","","","italiano","inglese","spagnolo","","","italiana","","","","","","","italia","","","","unchecked, unchecked, unchecked, unchecked, checked","Less than High School"
5,"Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","","","","","","Italy","Sweden","","","","unchecked, unchecked, unchecked, unchecked, checked","Some College"
209,"Italian","English","Spanish","Japanese","","Italian","English","Japanese","Spanish","","Italian","English","Spanish","Japanese","N/A","Italian","English","Spanish","Japanese","N/A","Italian","English","Spanish","Japanese","","Italian","European","Agnostic","","","","Italy","","","","","unchecked, unchecked, unchecked, unchecked, checked","College"
283,"Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian - Agnostic","","","","","I have 2 years of university education (Psychology) as well%2C but i dropped it.","Italy","France","Denmark","Japan","","unchecked, unchecked, unchecked, unchecked, checked","High School"
195,"italian","english","","","","italian","english","","","","Italian","english","","","","italian","english","","","","italian","english","NA","NA","NA","Italian","American","","","","","Italy","","","","Sensibility to light and corrected vision.","checked, unchecked, unchecked, unchecked, unchecked","Some Graduate School"
112,"Italian","English","Japanese","German","","Italian ","English","German","Japanese","","Italian","English","Japanese","German","","English","Italian","","","","English","Italian","","","","Latin europe","","","","","","Italy","","","","","unchecked, unchecked, unchecked, unchecked, checked","Masters"
94,"italian","english","","","","italian","english","","","","italian","english","","","","italian","english","","","","italian","english","","","","italian","","","","","","italy","","","","","unchecked, unchecked, unchecked, unchecked, checked","High School"
258,"Italian","English","Japanese","","","Italian","English ","Japanese","","","Italian","English","Japanese","","","Italian","English","Japanese","","","Italian","English","Japanese","","","Italian","","","","","","Italy","","","","","unchecked, unchecked, unchecked, unchecked, checked","College"
171,"Italian","English","French ","","","Italian","English ","French","","","Italian","English ","French","","","Italian","English","French","","","Italian ","English ","French","","","Italian","British","American","","","","Italy","","","","","unchecked, unchecked, unchecked, unchecked, checked","Less than High School"
80,"Italian","French","English ","Greek","","Italian","French","English","Greek","","Italian","French","English","Greek","German","Italian","French","English","Greek","German","Italian","French","English","Greek","German","Italian","","","","","","Italy","France","","","Macular Pucker","unchecked, unchecked, unchecked, unchecked, checked","Masters"
55,"Italian ","Spanish","English","","","Italian","Spanish","English","","","Italian ","Spanish","English","","","Italian ","Spanish","English ","","","Italian ","Spanish ","English ","","","North italian white person","Latin","","","","","Italy","","","","","checked, unchecked, unchecked, unchecked, unchecked","Some College"
41,"Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","American","Japanese","","","","Italy","","","","","unchecked, unchecked, unchecked, unchecked, checked","Some Graduate School"
7,"Italian","English","Spanish","French","","Italian","English","Spanish","French","","Italian","English","Spanish","French","","Italian","English","Spanish","French","","Italian","English","Spanish","French","","Italian","","","","","","Italy","","","","","unchecked, unchecked, unchecked, unchecked, checked","Ph.D./M.D./J.D."
159,"Italian","English","Sardo","","","Italian","English","Sardo","","","Italian","English","Sardinian","","","italian","English","Sardo","","","Italian","English","Sardo","","","European","Italian","Sardinian","","","","Italy","Czech Republic","","","Glasses","checked, unchecked, unchecked, unchecked, unchecked","Some College"
40,"Italian","English","German","Spanish","French","italian","english","french","spanish","german","italian","english","german","spanish","french","italian","english","german","spanish","french","italian","english","german","french","spanish","italian","german","english","french","spanish","","italy","","","","","unchecked, unchecked, unchecked, unchecked, checked","Masters"
138,"italian ","english","","","","italian ","english","","","","italian ","english","","","","italian","english","","","","italian","english","","","","italian","","","","","","italy","","","","","unchecked, unchecked, unchecked, unchecked, checked","Some College"
229,"Italian","English","French","Spanish","German","Italian","English","French","German","Spanish","Italian","English","French","Spanish","German","Italian","","","","","Italian","English","French","Spanish","German","Italian","German","","","","","Italy","Germany","United Kingdom","","I use glasses.","checked, unchecked, unchecked, unchecked, unchecked","Some College"
180,"italian ","english","german","russian","","italian ","english","german","russian","","italian","english","german","russian","spanish","italiano","english","german","","","italian","english","german","","","european ","white","","","","","italy","germany","","","","checked, unchecked, unchecked, unchecked, unchecked","Some College"
2,"Italian","English","French","German","","Italian","English","French ","German","","Italian","English","French","German","","Italian","English","French","German","","Italian","English","French","German","","European","","","","","","Italy","","","","","unchecked, unchecked, unchecked, unchecked, checked","Some College"
120,"Italian ","English ","Spanish ","Korean","","Italian ","English ","Spanish ","Korean","","Italian ","English ","Spanish ","Korean","","Italian","English ","Spanish ","Korean","","Italian ","English ","Spanish ","Korean","","Caucasian ","","","","","","Italy","","","","","unchecked, unchecked, unchecked, unchecked, checked","Some College"
70,"Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","English","Spanish","French","German","Italian","English","Spanish","French","German","Italian","European","English","US-American","Spanish","","Italy","","","","","unchecked, unchecked, unchecked, unchecked, checked","Masters"
259,"Italian","English","French","Spanish","Korean","Italian","English","French","Spanish","Korean","Italian","English","French","Spanish","Korean","Italian","English","French","Spanish","Korean","Italian","English","French","Spanish","Korean","Italian","European","","","","","Italy","","","","I wear glasses all the time.","checked, unchecked, unchecked, unchecked, unchecked","Masters"
122,"Italian","English","","","","Italian","English","","","","English","Italian","","","","Italian","English","","","","English","Italian","","","","itaòoam","","","","","","Italy","","","","","unchecked, unchecked, unchecked, unchecked, checked","High School"
277,"Italian","Arab","English","French","","Italian","Arab","English","French","","Italian","Arab","English ","French","","Italian","English","French ","Arab","","Italian","English","French ","Arab","","Italian","Arab","","","","","Italy","Italy","Morocco","","","checked, unchecked, unchecked, unchecked, unchecked","Some Graduate School"
126,"Italian","English","Arabic","French","","Italian","Arabic","English","French","","Italian","English","Arabic","French","","Italian","English","Arabic","French","","Italian","English","Arabic","French","","Italian","Moroccan","Arabic","English","French","","United Kingdom","Italy","Slovakia","","Myopia","checked, unchecked, unchecked, unchecked, unchecked","Ph.D./M.D./J.D."
194,"Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","European","Mediterranean","","","","Italy","","","","Myopia and astigmatism","checked, unchecked, unchecked, unchecked, unchecked","Less than High School"
196,"Italian","English","French","","","Italian","English","French","","","Italian","English","French","","","Italian","English","French","","","Italian","English","French","","","Italian","Millenial","","","","","Italy","Malta","","","Nearsighted%2C corrected easily with lenses","unchecked, unchecked, unchecked, unchecked, checked","Some College"
96,"italian","english","spanish","french","","italian","english","french","spanish","","italian","english","spanish","french","","italian","spanish","english","french","","italian","spanish","english","french","","Italian","","","","","","Italy","Spain","","","","unchecked, unchecked, unchecked, unchecked, checked","High School"
290,"Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","","","","","","Italy","","","","","unchecked, unchecked, unchecked, unchecked, checked","Some Graduate School"
267,"Italian","English","Spanish","Deutch","French","Italian","English ","French","Spanish ","Deutch","Italian","English","Spanish","Deutch ","Spanish ","Italian","English ","Deutch ","Spanish ","French ","Italian","English ","Spanish ","Deutch ","French","European","","","","","","Italy","","","","","unchecked, unchecked, unchecked, unchecked, checked","Masters"
111,"Italian","English","French","German","","Italian ","German","English","French","","Italian","English","French","German","","English","Italian","","","","Italian ","English","","","","Italian","US-American","French","German","","","Italy","Italy","","","","unchecked, unchecked, unchecked, unchecked, checked","College"
179,"Italian","English","Norwegian","","","Italian","English","Norwegian","","","Italian","English","Norwegian","","","Italian","English","Norwegian","","","Italian","English","Norwegian","","","Italian","","","","","","Italian","","","","","unchecked, unchecked, unchecked, unchecked, checked","Some Graduate School"
295,"italian","punjabi","english","hindi","german","italian","punjabi","english","hindi","german","italian","punjabi","english","hindi","german","italian","punjabi","english","hindi","german","italian","punjabi","english","hindi","german","italian","indian","","","","","italy","","","","","unchecked, unchecked, unchecked, unchecked, checked","High School"
221,"italiano","inglese","","","","italiano","inglese","","","","50","50","","","","italiano","inglese","","","","italiano","inglese","","","","italiana","inglese","","","","","italia","","","","","unchecked, unchecked, unchecked, unchecked, checked","High School"
174,"Italian","English","French","Spanish","German","Italian","English","French","German","Spanish","Italian","English","German","French","Spanish","Italian","English","French","German","Spanish","Italian","English","French","German","Spanish","Italian","","","","","","Italy","","","","","checked, unchecked, unchecked, unchecked, unchecked","High School"
299,"Italian","Spanish","English","","","Italian","English","Spanish","","","Italian","Spanish","English","","","Italian","Spanish","English","","","Italian","Spanish","English","","","Italian","Spanish","English","","","","Italy","Spain","","","","unchecked, unchecked, unchecked, unchecked, checked","Ph.D./M.D./J.D."
45,"italian","english","spanish","","","italian","english","french","german","spanish","italian","english","","","","italian","english","","","","italian","english","","","","italian","","","","","","italy","","","","","unchecked, unchecked, unchecked, unchecked, checked","Some College"
216,"Italian","English","German","","","Italian","English","German","","","Italian","English","","","","Italian","English","","","","Italian","English","","","","Christian","","","","","","Italy","","","","","unchecked, unchecked, unchecked, unchecked, checked","High School"
