LexicalType,Valence,Lang,Word,Group
pej,neg,ita,stronzo,A
pej,pos,ita,tesoro,A
adj,neg,ita,bugiarda,A
adj,neg,ita,osceno,A
adj,neg,ita,scortese,A
adj,neg,ita,inaffidabile,A
adj,neg,ita,pigra,A
adj,neg,ita,meschina,A
adj,neg,ita,indiscreta,A
adj,neg,ita,crudele,A
adj,neg,ita,sleale,A
adj,pos,ita,gentile,A
adj,pos,ita,elegante,A
adj,pos,ita,saggia,A
adj,pos,ita,scrupolosa,A
adj,pos,ita,affidabile,A
adj,pos,ita,leale,A
adj,pos,ita,paziente,A
adj,pos,ita,cauta,A
adj,pos,ita,riservata,A
adj,neg,ita,cattivo,A
adj,pos,ita,buono,A
adj,neg,ita,negativo,A
adj,pos,ita,positivo,A
adj,neg,ita,demone,A
adj,pos,ita,santo,A
pej,neg,ita,stronzo,B
pej,pos,ita,tesoro,B
adj,neg,ita,bugiarda,B
adj,neg,ita,osceno,B
adj,neg,ita,scortese,B
adj,neg,ita,inaffidabile,B
adj,neg,ita,pigra,B
adj,neg,ita,meschina,B
adj,neg,ita,indiscreta,B
adj,neg,ita,crudele,B
adj,neg,ita,sleale,B
adj,pos,ita,gentile,B
adj,pos,ita,elegante,B
adj,pos,ita,saggia,B
adj,pos,ita,scrupolosa,B
adj,pos,ita,affidabile,B
adj,pos,ita,leale,B
adj,pos,ita,paziente,B
adj,pos,ita,cauta,B
adj,pos,ita,riservata,B
adj,neg,ita,cattivo,B
adj,pos,ita,buono,B
adj,neg,ita,negativo,B
adj,pos,ita,positivo,B
adj,neg,ita,demone,B
adj,pos,ita,santo,B
pej,neg,ita,stronzo,C
pej,pos,ita,tesoro,C
adj,neg,ita,bugiarda,C
adj,neg,ita,osceno,C
adj,neg,ita,scortese,C
adj,neg,ita,inaffidabile,C
adj,neg,ita,pigra,C
adj,neg,ita,meschina,C
adj,neg,ita,indiscreta,C
adj,neg,ita,crudele,C
adj,neg,ita,sleale,C
adj,pos,ita,gentile,C
adj,pos,ita,elegante,C
adj,pos,ita,saggia,C
adj,pos,ita,scrupolosa,C
adj,pos,ita,affidabile,C
adj,pos,ita,leale,C
adj,pos,ita,paziente,C
adj,pos,ita,cauta,C
adj,pos,ita,riservata,C
adj,neg,ita,cattivo,C
adj,pos,ita,buono,C
adj,neg,ita,negativo,C
adj,pos,ita,positivo,C
adj,neg,ita,demone,C
adj,pos,ita,santo,C